24 15 
32.24 34.50 20.53 
37.21 31.90 44.98 
18.61 29.59 18.39 
24.12 40.89 19.39 
33.90 43.12 37.82 
24.33 25.75 44.61 
26.64 15.92 16.61 
42.82 38.05 18.65 
21.17 17.52 26.34 
27.75 17.21 44.10 
44.58 39.18 21.94 
16.94 21.60 36.55 
23.68 23.32 40.93 
39.72 19.82 21.83 
36.16 26.37 17.15 
27.04 44.34 28.05 
24.80 35.34 21.61 
24.98 35.62 16.07 
21.09 40.41 33.71 
25.15 40.40 38.16 
26.12 27.66 31.28 
23.70 19.65 27.42 
30.35 40.56 23.82 
34.93 43.08 21.25 
33.13 18.26 18.91 
41.18 17.39 38.58 
27.84 34.46 28.54 
25.67 28.14 27.42 
34.22 35.61 36.19 
25.21 40.77 33.38 
33.45 32.38 17.69 
17.39 34.28 15.72 
37.04 28.82 22.47 
41.01 16.15 37.86 
33.36 30.52 24.02 
28.18 24.78 31.92 
28.27 15.04 24.81 
25.82 35.82 23.19 
28.63 22.44 31.79 
19.88 44.44 35.72 
22.35 25.71 29.56 
31.23 38.97 23.63 
24.83 28.74 37.49 
43.11 28.33 30.96 
37.05 25.44 37.88 
24.21 36.32 33.59 
26.70 26.60 33.42 
25.23 31.24 41.91 
29.33 17.96 30.72 
30.26 23.96 39.95 
32.54 38.10 35.12 
31.75 38.35 35.02 
33.84 39.36 37.53 
19.78 44.49 43.23 
26.77 24.21 36.60 
30.37 36.33 27.47 
24.07 26.90 41.32 
24.27 38.02 33.62 
39.90 34.15 32.38 
19.44 30.70 22.44 
41.42 16.11 30.37 
15.67 28.03 16.33 
29.25 25.06 44.65 
29.65 30.46 35.41 
27.33 32.92 29.12 
26.56 25.56 41.03 
20.92 24.89 21.90 
30.23 22.60 33.93 
39.15 15.87 44.04 
40.69 31.38 15.01 
28.48 29.90 36.30 
44.19 40.32 39.06 
19.27 26.31 39.17 
44.97 17.88 33.25 
28.76 43.43 18.85 
22.78 34.92 33.52 
42.63 24.76 26.30 
30.30 37.45 23.15 
28.26 26.84 23.36 
32.93 17.98 30.51 
21.33 38.46 29.79 
42.46 20.63 33.25 
43.72 30.92 37.18 
27.30 25.96 26.23 
40.97 39.52 29.79 
37.81 39.76 26.68 
27.03 43.36 36.43 
40.12 37.76 21.69 
19.04 44.36 24.99 
18.63 19.01 42.40 
38.94 43.38 33.53 
28.43 20.80 38.87 
22.49 27.42 26.16 
24.22 35.89 26.35 
29.53 34.81 38.84 
40.63 17.54 38.54 
32.75 31.22 18.36 
34.32 27.84 31.22 
38.43 35.24 24.84 
27.85 20.88 30.09 
26.48 42.20 37.43 
16.53 44.74 18.57 
25.73 38.79 26.85 
32.91 17.21 43.31 
36.70 37.97 32.20 
25.00 37.39 17.67 
15.73 15.72 36.30 
26.39 30.37 32.66 
32.11 27.49 33.67 
20.46 17.05 15.53 
32.64 41.84 21.74 
33.32 16.35 26.91 
34.26 23.61 43.30 
16.00 39.24 21.19 
38.35 22.34 28.99 
39.83 28.07 25.64 
28.19 22.77 18.82 
38.75 40.58 20.24 
29.32 38.12 43.44 
37.37 16.67 38.28 
30.85 41.56 16.61 
20.69 22.69 40.11 
23.64 38.07 20.72 
17.54 34.03 26.53 
31.66 40.52 22.43 
34.43 42.87 28.01 
35.68 18.32 24.63 
31.32 34.67 40.27 
39.82 35.83 17.14 
27.60 20.26 19.24 
40.41 35.56 34.33 
31.22 21.64 22.27 
25.79 41.39 31.21 
20.21 24.97 16.12 
44.21 31.39 26.65 
26.63 25.36 25.70 
44.27 18.77 41.95 
38.06 22.11 39.59 
29.29 44.97 35.91 
17.39 29.10 34.34 
38.48 29.90 41.72 
17.32 15.46 34.00 
38.69 34.76 34.93 
20.04 23.76 39.87 
23.06 20.60 32.57 
40.34 39.09 43.30 
26.34 32.81 27.72 
28.22 17.57 29.00 
26.50 38.63 34.68 
18.68 44.34 34.77 
21.92 40.25 18.65 
23.39 26.82 31.38 
39.92 27.06 34.49 
27.10 36.03 15.76 
43.93 32.90 39.88 
34.07 39.47 25.98 
19.09 44.51 28.23 
18.89 17.85 26.14 
38.73 16.90 44.73 
30.80 42.61 41.10 
23.14 44.70 16.42 
18.06 35.66 37.17 
28.35 16.12 34.41 
39.03 29.09 41.59 
26.74 15.34 15.74 
20.47 43.08 44.57 
23.07 32.58 39.29 
26.94 32.26 29.97 
27.78 30.78 30.29 
34.96 18.55 15.26 
29.10 25.58 16.99 
28.89 29.99 31.12 
32.07 38.36 23.53 
25.72 22.94 38.08 
31.62 40.91 38.13 
22.39 21.68 16.48 
15.95 26.35 22.17 
25.15 31.55 39.49 
42.27 30.30 21.42 
43.27 25.15 29.71 
21.53 21.71 42.76 
32.02 16.72 44.15 
19.58 17.26 22.21 
32.80 32.42 37.17 
16.04 23.57 27.50 
23.17 21.02 24.16 
30.43 20.57 17.59 
24 22 
2 15 7 12 19 5 15 15 14 5 1 6 22 1 9 11 11 4 21 7 3 3 
14 2 17 24 18 24 20 3 2 24 23 18 19 4 8 3 10 19 7 9 24 13 
18 4 15 3 4 21 16 12 5 10 4 22 2 13 22 4 24 2 17 21 19 9 
7 22 20 23 1 19 23 19 10 3 2 19 3 11 23 15 16 18 20 19 18 10 
24 21 2 4 16 23 24 1 13 18 7 24 20 22 16 2 17 13 6 14 14 20 
17 13 19 17 6 2 9 20 1 19 24 21 17 8 5 6 5 20 4 17 6 4 
12 5 1 11 20 7 6 18 3 8 20 4 1 23 2 20 22 9 9 13 11 21 
6 11 21 13 13 17 8 22 17 23 16 11 4 9 14 17 2 23 8 15 9 6 
16 7 5 8 24 14 21 23 19 6 13 13 21 18 10 1 23 6 22 16 8 22 
1 14 14 21 3 4 5 10 15 15 19 12 13 10 11 16 4 15 10 3 12 23 
23 9 6 1 2 16 22 21 18 22 8 20 15 19 18 7 21 3 12 22 22 1 
20 18 11 20 15 12 14 17 23 17 11 5 6 3 7 10 3 11 23 11 16 11 
8 8 16 15 7 10 3 8 12 1 12 1 24 20 1 21 9 24 3 8 5 17 
11 6 4 16 5 18 2 13 20 7 10 3 7 6 13 13 7 1 16 20 1 18 
19 3 18 22 17 1 18 9 6 2 17 7 12 21 19 14 14 8 14 10 7 7 
13 23 22 14 21 22 19 5 24 9 18 10 8 7 17 19 6 17 11 6 13 8 
21 16 8 2 23 9 12 16 9 14 22 17 14 12 15 18 18 10 5 2 10 5 
15 12 10 7 14 8 10 4 4 16 5 9 5 2 20 5 1 7 18 23 4 15 
10 19 24 5 22 15 4 11 21 20 3 15 23 16 3 24 15 22 13 24 20 2 
5 24 23 10 10 6 1 2 7 11 6 2 18 14 4 22 13 14 15 4 17 24 
22 20 3 6 11 20 11 24 16 21 14 16 16 15 12 23 19 12 19 5 23 14 
4 17 9 18 12 11 13 14 22 12 15 23 9 5 24 8 20 21 2 12 21 19 
9 1 13 19 8 13 7 7 11 13 21 14 11 17 21 9 12 16 1 18 15 16 
3 10 12 9 9 3 17 6 8 4 9 8 10 24 6 12 8 5 24 1 2 12 
61.36 33.90 63.61 7.06 39.00 15.04 83.27 63.29 68.64 82.07 66.90 52.72 90.58 49.36 69.07 6.41 97.02 99.78 20.80 62.06 90.15 12.85 27.03 66.53 39.96 
54.22 71.84 93.33 14.82 38.43 50.12 3.67 43.13 49.10 92.65 88.61 64.48 1.57 39.62 11.88 68.33 57.81 95.50 46.62 83.54 27.27 45.31 30.73 97.28 4.53 
74.85 22.28 30.09 91.74 38.47 48.87 28.15 17.73 92.59 44.22 89.15 32.39 59.43 19.09 56.76 2.24 38.50 37.44 59.45 39.84 35.24 13.35 10.37 79.24 99.09 
43.24 10.86 51.63 93.28 56.33 47.48 85.36 70.40 93.41 70.21 73.98 89.91 78.05 14.00 95.82 71.51 89.38 51.43 99.61 42.04 71.88 17.98 31.36 7.72 52.93 
5.42 21.10 3.09 19.30 13.53 32.56 62.47 46.80 74.25 8.18 44.02 71.79 11.17 85.00 96.84 4.70 70.10 26.96 51.12 16.67 39.20 98.51 11.55 8.47 51.80 
72.38 78.21 95.01 53.30 94.29 30.74 10.71 28.30 39.48 13.27 78.47 26.33 63.66 51.08 58.26 86.89 84.16 28.69 50.82 29.08 85.81 63.00 66.11 99.20 69.41 
65.87 73.24 28.90 82.45 84.17 78.58 8.54 6.59 62.86 62.99 14.83 54.29 24.61 17.23 64.68 34.13 85.67 57.58 25.08 85.49 40.55 97.47 68.56 42.58 28.71 
14.42 36.29 56.88 34.12 99.94 20.64 19.58 92.71 90.52 35.90 55.03 97.38 65.13 12.12 37.88 68.08 81.34 37.13 33.35 57.67 11.03 1.58 90.22 88.53 87.97 
63.24 19.80 2.57 34.63 44.77 5.77 15.96 71.16 26.01 14.04 93.16 94.86 4.91 35.86 69.82 79.76 6.80 97.54 87.56 80.29 41.59 41.30 52.89 21.77 78.32 
89.38 68.74 31.89 15.27 1.44 19.74 93.18 97.90 69.44 99.87 78.19 97.56 87.73 76.79 41.06 80.02 50.97 61.78 21.09 56.94 4.26 90.14 15.86 53.26 62.51 
97.61 31.74 11.47 1.64 68.81 48.25 52.10 27.37 34.37 24.57 67.20 35.04 17.95 16.29 29.80 74.03 89.76 20.05 91.98 75.67 13.69 40.79 62.48 32.93 68.70 
52.09 61.78 28.39 33.22 38.18 89.88 15.46 48.04 66.17 37.79 31.06 31.31 13.75 75.34 68.80 96.74 97.82 10.84 37.96 2.31 83.11 68.11 63.73 24.30 43.98 
60.93 73.06 9.40 88.14 59.38 88.43 50.66 42.56 13.78 83.47 85.06 83.84 87.90 25.10 11.47 77.83 69.80 43.13 33.27 55.47 21.42 30.58 1.72 55.39 9.18 
62.03 77.58 1.59 90.14 24.43 1.23 99.05 78.35 28.27 17.74 23.28 50.96 32.55 8.71 83.08 25.50 28.14 43.67 36.90 90.52 99.05 65.30 69.17 84.84 7.80 
34.40 72.50 61.85 16.98 67.72 73.71 52.35 54.91 11.84 43.81 28.93 47.01 2.09 54.94 73.80 34.80 84.33 46.68 35.74 84.79 34.95 17.98 5.51 69.09 9.10 
28.28 65.49 37.37 34.86 69.55 41.13 89.98 72.74 62.02 55.79 52.68 4.30 5.88 37.04 25.38 12.51 44.28 43.49 80.77 30.76 8.50 90.13 22.69 46.67 36.61 
8.55 67.31 36.91 24.23 56.67 34.43 39.59 3.46 14.98 97.36 85.00 20.46 97.72 27.78 13.36 32.88 36.38 28.73 23.74 98.02 32.82 53.19 77.49 74.23 75.91 
34.05 37.70 88.48 40.17 71.75 50.08 39.82 94.32 21.32 7.90 42.40 14.45 79.92 78.95 93.47 57.45 64.73 56.89 31.41 1.14 59.85 64.75 93.06 70.86 19.92 
4.57 15.94 42.56 64.14 74.12 67.66 46.44 23.34 51.67 74.73 61.02 95.30 48.80 22.22 68.06 13.64 32.76 90.89 94.20 97.84 78.62 43.79 48.99 80.11 89.23 
98.53 47.82 15.88 46.94 7.20 92.54 78.83 68.45 84.08 32.82 47.53 23.07 70.50 12.06 58.75 86.45 99.76 94.78 67.31 12.72 43.12 71.02 29.84 51.96 94.63 
62.31 96.26 21.83 84.49 33.88 10.41 38.43 35.43 48.00 3.02 56.38 83.92 81.13 36.74 55.39 7.76 98.52 27.47 44.79 86.44 87.47 94.09 89.61 89.54 52.89 
17.33 48.15 80.52 44.87 56.28 76.04 71.75 61.83 40.52 28.06 19.38 94.04 58.43 83.97 17.98 73.81 31.75 85.72 52.32 44.82 20.20 85.16 90.21 13.23 55.68 
97.98 75.55 69.96 55.94 31.91 49.08 9.27 95.11 26.40 59.47 95.78 14.95 42.98 94.10 80.25 78.23 26.49 82.06 46.22 16.88 74.77 76.22 69.18 15.81 14.61 
46.50 59.10 91.08 3.36 34.24 92.01 36.09 91.87 66.46 1.17 69.19 2.90 60.24 4.35 51.12 35.18 46.55 89.54 99.95 67.21 56.28 67.76 49.72 46.83 47.08 
56.63 86.55 8.44 49.94 32.67 41.56 98.46 94.02 26.38 14.17 31.42 80.43 94.67 3.21 10.21 20.77 44.80 88.50 49.58 46.71 32.08 71.89 26.34 49.30 50.75 
56 52 48 44 40 36 33 30 27 24 22 20 16 14 12 10 8 7 6 5 4 3 2 1 
